Type,Literal meaning,Figurative sentence
Simile,"The horse, who understands the conversation, is quite offended","The horse, who understands the conversation, is like an undercomplemented beauty queen."
Simile,"In most horror settings, silence is key","In most horror settings, silence is like a central ingrediant."
Simile,Constructing the flat pack TV cabinet was meant to be easy,Constructing the flat pack TV cabinet was meant to be like turning on a light.
Simile,"On your way to work, you notice the world is unnaturally calm","On your way to work, you notice the world is like a drugged out patient."
Simile,The news hit me hard,The news hit me like a Mack truck.
Simile,The secret is you can rewind time a few seconds into the past,The secret is you can rewind time like a held breath.
Simile,Rory looked at her as if she were crazy,Rory looked at her as if she were a madwoman.
Simile,I knew there was pain but this was intense,I knew there was pain but this was like being seered in the bluest part of a flame.
Simile,"But times are hard, and silver bullets are expensive","But times are hard, and silver bullets are like polished diamonds these days."
Simile,I start to prowl across the room warily,I start to prowl across the room like a tightrope walker on dental floss.
Simile,Telling lies to the young is wrong,Telling lies to the young is like clippin the wings of a butterfly.
Simile,"This tale, however, speaks of a god who's as incompetent as he is useless","This tale, however, speaks of a god who's as incompetent as he is like a gnat."
Simile,"It was red, beautiful","It was red, like a forbidden rubied rose."
Simile,I start to prowl across the room warily,I start to prowl across the room like a nervous criminal.
Simile,"Honestly, we probably should have coordinated with each other","Honestly, we probably should have coordinated like identical twins with matching outfits."
Simile,The library grew back prettily,The library grew back like ivy on a castle.
Simile,"He adjusted himself groggily, but upon seeing me, he sprang upright","He adjusted himself groggily, but upon seeing me, he sprang up like a soldier at dawn."
Simile,An ordinary citizen coming to power in this way is unprecedented,An ordinary citizen coming to power in this way is like a green moon.
Simile,"Several thousand years in the future, humans evolved to be emotionless","Several thousand years in the future, humans evolved to be like fleshed automatons."
Simile,The wind stampeded through me fast,The wind stampeded through me like a herd of wild horses.
Simile,"Honestly, we probably should have coordinated with each other","Honestly, we probably should have coordinated like better friends."
Simile,The bliss has reached fever pitch as it engulfs me warm,The bliss has reached fever pitch as it engulfs me like afternoon sun's rays.
Simile,"Reincarnation has been proven, memories are now retrievable","Reincarnation has been proven, memories are now like an accessable photo album."
Simile,"It was a moonless nights, the air was still and the crickets were silent","It was a moonless nights, the air was still and the crickets were like living shadows."
Simile,Rory looked at her as if she were crazy,Rory looked at her as if she were like a makeup artist putting lipstick on a pig.
Simile,"After taking a pill, you suddenly realize that it all was intentional","After taking a pill, you suddenly realize that it all was like a refined battle plan."
Simile,"Nobody notices until your body is found, dead","Nobody notices until your body is found, like a gray frostbitten log."
Simile,"Maybe you'll give Valhalla a try, the possibilities are endless","Maybe you'll give Valhalla a try, the possibilities are like a spiritual buffet."
Simile,"Maybe you'll give Valhalla a try, the possibilities are endless","Maybe you'll give Valhalla a try, the possibilities are like a ladder to the heavens."
Simile,Trying to rationalize the situation eventually becomes troublesome,Trying to rationalize the situation eventually becomes like trapping a bird in a cage.
Simile,Her relationships with family and friends are very difficult,Her relationships with family and friends are like puzzles with missing pieces.
Simile,The things that wait in between the two are unpleasant,The things that wait in between the two are like Scylla and Charybdas.
Simile,The images flashed in the brilliance that covered him warm,The images flashed in the brilliance that covered him like a plush blanket
Simile,The sound hit Frank loud enough to make your ear hurt,The sound hit Frank like a discordant cacaphony.
Simile,"When you confront him about it, he is absolutely astounded","When you confront him about it, he is like the perfectly ignorant boyfriend."
Simile,A global catastrophe causes all major technology to be rendered useless,A global catastrophe causes all major technology to be rendered like burned ashes.
Simile,Until you notice their eyes are glowing green,Until you notice their eyes are glowing like a black cat's.
Simile,Panic is sweeping through the streets contagiously,Panic is sweeping through the streets like an ambitious virus.
Simile,No matter how many times you try you're always too slow,No matter how many times you try you're always like a sloth at a racetrack.
Simile,"It seems like he's just really charismatic, until his demands become gradually more unhinged","It seems like he's just really charismatic, until his demands become gradually more like a ravenous furnace flame."
Simile,The sound of his own blood sounds ear - splitting,The sound of his own blood sounds like scraping metal against a chalkboard.
Simile,"This tale, however, speaks of a god who's as incompetent as he is useless","This tale, however, speaks of a god who's as incompetent as he is like a wagon without wheels."
Simile,"At that point, it could spread infectiously","At that point, it could spread like Herpes at band camp."
Simile,"Drinking it will either kill you, or grant you strength and abilities unimaginable","Drinking it will either kill you, or grant you strength and abilities like an everflowing fountain."
Simile,Panic is sweeping through the streets contagiously,Panic is sweeping through the streets like the virus itself.
Simile,It makes Hunger Games look silly,It makes the Hunger Games look like mere child's play.
Simile,Thrown away dirtily,Thrown away like sweat-soaked gym socks.
Simile,You wake one morning to find your entire family lying unconscious,You wake one morning to find your entire family lying like dummies.
Simile,"It was a moonless nights, the air was still and the crickets were silent","It was a moonless nights, the air was still and the crickets were as if on vacation."
Simile,The child's job is to attract followers to make their deity more powerful,The child's job is to attract followers to make their deity more like an almighty being.
Simile,"Everyone is a robot subtly testing you, but you are starting to get suspicious","Everyone is a robot subtly testing you, but you are starting to get like an amateur detective."
Simile,"When the prophet told you that all your dreams would come true, you were ecstatic","When the prophet told you that all your dreams would come true, you were like a million-dollar lottery winner."
Simile,"They were visible to all, but inscrutable","They were visible to all, but like blurred watercolored lines."
Simile,Yet as the days would pass the user would become increasingly distressed,Yet as the days would pass the user would become like a sapling bending in a hurricane.
Simile,While it has been confirmed to not be blood the truth is even more horrid,While it has been confirmed to not be blood even the truth is like corpses.
Simile,"Pink orange yellow green black white, I felt numb and slack-jawed, gaping funnily","Pink orange yellow green black white, I felt numb and slack-jawed, gaping like a lopsided pancake."
Simile,"You visit the tower at night to get a new perspective, expecting nothing too exciting","You visit the tower at night to get a new perspective, expecting nothing like the glory of the Northen Lights."
Simile,"When you were but a child, your creative power was unmatched","When you were but a child, your creative power was like the heartbeats of a million suns."
Simile,Your dog is very excited to see you and acting quite peculiar,Your dog is very excited to see you and acting like a cat!
Simile,Adrenaline shot through him powerful,Adrenaline shot through him like a hypodermic injection.
Simile,I wander hopelessly,I wander like a loser.
Simile,Clare felt each stirke painful,Clare felt each stirke like it were the plunge of a poison-soaked blade.
Simile,"Though the distance I have to cover is short, it feels brutal","Though the distance I have to cover is short, it feels like crawling through the desert."
Simile,"As they touch the ground, they are forgotten","As they touch the ground, they are like melting snowflakes."
Simile,Friends' bars are almost full while strangers' are half-filled,Friends' bars are almost full while strangers' are like a pessimist's glass: half-empty.
Simile,"A character knows that their universe is fictional, but everyone thinks they are crazy","A character knows that their universe is fictional, but everyone thinks they are like a clown in a courthouse."
Simile,You can freely switch between them but the rest go completely lifeless,You can freely switch between them but the rest go like a deflated dummies.
Simile,Netflix &amp; Chill just went horribly wrong,Netflix &amp; Chill just went like a disastrous sexual encounter.
Simile,But he's much stronger than you and his ideas are very different,But he's much stronger than you and his ideas are like a train on another track.
Simile,A rather mundane day changes when you unearth something quite interesting,A rather mundane day changes when you unearth something like an enticing secret.
Simile,"Pale, yet bright it's flesh glowed pleasingly","Pale, yet bright it's flesh glowed like a gentle ember."
Simile,The predators never anticipated their enemies would be this indestructible,The predators never anticipated their enemies would be like Olympian gods.
Simile,"The knocking on the door was more assertive now, more confident","The knocking on the door was more assertive now, more like a herald's declaration."
Simile,The wind stampeded through me fast,The wind stampeded through me like a desperate herd of wildebeest.
Simile,The shade and sarcasm they throw at each other is too damn funny,The shade and sarcasm they throw at each other is too damn funny like Sonny and Cher.
Simile,"Everyone is a robot subtly testing you, but you are starting to get suspicious","Everyone is a robot subtly testing you, but you are starting to get like a skeptical Stepford wife."
Simile,"Though the distance I have to cover is short, it feels brutal","Though the distance I have to cover is short, it feels like a scorching trek through Death Valley."
Simile,"When the prophet told you that all your dreams would come true, you were ecstatic","When the prophet told you that all your dreams would come true, you were like a kid in an infinite candy store."
Simile,You are the final boss of a videogame and are unbeaten,You are the final boss of a videogame and are like the king of a mighty empire.
Simile,The images flashed in the brilliance that covered him warm,The images flashed in the brilliance that covered him like the beating sun.
Simile,"Streaks of electricity cackled through the air, swirling around and around dangerous","Streaks of electricity cackled through the air, swirling around and around like Lovecraftian tentacles."
Simile,"You're the only one who notices, but you're remarkably unfazed","You're the only one who notices, but you're remarkably like a cool professional."
Simile,"Drinking it will either kill you, or grant you strength and abilities unimaginable","Drinking it will either kill you, or grant you strength and abilities like a complete alter ago."
Simile,"Amen has fascinating joyful dreams every night, while his real life is unbearable","Amen has fascinating joyful dreams every night, while his real life is like a more miserable plotline."
Simile,Milton scrunched his eyes and moodily turned back to his computer helpless,Milton scrunched his eyes and moodily turned back to his computer like a damsel in distress.
Simile,"Unfortunately, you have a spiritual disorder, and your luck is almost always incredibly low","Unfortunately, you have a spiritual disorder, and your luck is almost always like a dried-up puddle."
Simile,You are an oracle whose predictions have always come true,You are an oracle whose predictions have always come like the rising sun.
Simile,"The horse, who understands the conversation, is quite offended","The horse, who understands the conversation, is like an insulted guest."
Simile,"They were visible to all, but inscrutable","They were visible to all, but like worn ancient tablets full of heiroglyphics."
Simile,"When you confront him about it, he is absolutely astounded","When you confront him about it, he is like a beffudled toddler."
Simile,Navigating fantasy Japan has proven very difficult,Navigating fantasy Japan has proven like understanding hieroglyphics while drunk
Simile,"In the dead of summer, in Ohio, the clothes felt hot and humid","In the dead of summer, in Ohio, the clothes felt like wet wool."
Simile,The old van in the field is almost comfortable,The old van in the field is like a stiff sweatshirt.
Simile,"He was executed the next day, and Sparrow was declared dead","He was executed the next day, and Sparrow was declared like a slain soldier."
Simile,They put up a brave face as governments become increasingly authoritarian,They put up a brave face as governments become more like a dystopia.
Simile,No matter how many times you try you're always too slow,No matter how many times you try you're always like the early bird's worm.
Simile,"For centuries, the Tyrant has made life miserable","For centuries, the Tyrant has made life like a dreary prison."
Simile,"She smirked when she saw me looking at it, eyes huge and mouth open","She smirked when she saw me looking at it, eyes huge and mouth like a door ajar."
Simile,You are at a business dinner with your boss when your phone rings out loud,You are at a business dinner with your boss when your phone rings out like a scream echoing through a canyon.
Simile,Yet as the days would pass the user would become increasingly distressed,Yet as the days would pass the user would become more like a lost student.
Simile,"Pink orange yellow green black white, I felt numb and slack-jawed, gaping funnily","Pink orange yellow green black white, I felt numb and slack-jawed, gaping like a boy in the girl's locker room."
Simile,"Growing up, people always thought you were strange","Growing up, people always thought you were like an okapi in a herd of donkeys."
Simile,"In most horror settings, silence is key","In most horror settings, silence is like an unknown savior."
Simile,"You both have something important to say, but time is short","You both have something important to say, but time is like a half-blink."
Simile,"He was executed the next day, and Sparrow was declared dead","He was executed the next day, and Sparrow was declared to be like the ghosts of old."
Simile,"Turns out, tag between super heroes can get pretty intense","Turns out, tag between super heroes can get like a sibling rivalry."
Simile,You decline but the man is persistent,You decline but the man is like a buzzing killer bee.
Simile,The bliss has reached fever pitch as it engulfs me warm,The bliss has reached fever pitch as it enulfs me like a steaming shower.
Simile,The majority of law enforcement has become irrelevant,The majority of law enforcement has become like a phonograph at a smartphone convention.
Simile,We see billionaires with full meters and homeless people completely empty,We see billionaires with full meters and homeless people like morning after the funeral
Simile,The library grew back prettily,The library grew back like a persistent garden.
Simile,You just started staring off into space and smiling dangerously,You just started staring off into space and smiling like Cruella De Vil.
Simile,"After finding a strange mask on the beach, you become suddenly more rich and famous","After finding a strange mask on the beach, you become suddenly more like a sun-kissed popstar."
Simile,"The sun is nowhere to be found, and the streets are eerily quiet","The sun is nowhere to be found, and the streets are like a ghost town."
Simile,The old van in the field is almost comfortable,The old van in the field is like baby swaddled a little too tightly in a blanket.
Simile,The child's job is to attract followers to make their deity more powerful,The child's job is to attract followers to make their deity more like an omniscient emperor.
Simile,Constructing the flat pack TV cabinet was meant to be easy,Constructing the flat pack TV cabinet was meant to be like putting on velcro shoes.
Simile,They had shut him in a basement that looked dangerously claustrophobic,They had shut him in a basement that looked like a freight elevator.
Simile,After decades of drought the Western United states is declared uninhabitable,After decades of drought the Western United states is declared like a wasteland.
Simile,"But times are hard, and silver bullets are expensive","But times are hard, and silver bullets are like priceless rubies."
Simile,The city was beautiful,The city was like a well-cut diamond.
Simile,Youe just made a breakthrough in AI that meant that our species became obsolete,Youe just made a breakthrough in AI that meant that our species became like landlines in the twenty-first century.
Simile,While it has been confirmed to not be blood the truth is even more horrid,While it has been confirmed to not be blood the truth is even more like broken skeltetons in a closet.
Simile,"Unfortunately, their ideas about your past life are hilariously inaccurate","Unfortunately, their ideas about your past life are like drunken bat swings at a dart board."
Simile,"For centuries, the Tyrant has made life miserable","For centuries, the Tyrant has made life like an impatient storm reaching to be a hurricane."
Simile,"I needed to keep my cool, but the King surely wasn't making it easy","I needed to keep my cool, but the King surely wasn't making it like any natural setting."
Simile,We have learned that the ending of the Earth is imminent and unavoidable,We have learned that the ending of the Earth is imminent and like death and taxes.
Simile,Trying to rationalize the situation eventually becomes troublesome,Trying to rationalize the situation eventually becomes like an ever-complicated equation.
Simile,If it falls into the wrong hands it would be catastrophic,If it falls into the wrong hands it would be like a nuclear apocalyse.
Simile,"Nobody notices until your body is found, dead","Nobody notices until your body is found, like a stiff corpse."
Simile,"As you approach him, his eyes begin to shed tears that appear luminescent","As you approach him, his eyes begin to shed tears that appear like trembling stars."
Simile,The surface of Mars was blossoming beautifully,The surface of Mars was blossoming like a garden in spring.
Simile,"Having a thin figure, he looked unpleasant","Having a thin figure, he looked like a dry, overgrown blade of grass."
Simile,Hitler skittered off slow,Hitler skittered off like a dog with its tail between its legs.
Simile,"He adjusted himself groggily, but upon seeing me, he sprang upright","He adjusted himself groggily, but upon seeing me, he sprang up like in a panic."
Simile,"On your way to work, you notice the world is unnaturally calm","On your way to work, you notice the world is like a hushed preschool classroom."
Simile,Her neck was beautiful,Her neck was like the smooth curve of a pearl.
Simile,Friends' bars are almost full while strangers' are half-filled,Friends' bars are almost full while strangers' are like dwindling smartphone batteries.
Simile,We have learned that the ending of the Earth is imminent and unavoidable,We have learned that the ending of the Earth is imminent like a blak hole's event horizon.
Simile,"A bright light shines above you, but the rest of the room is dark","A bright light shines above you, but the rest of the room is like a moonless night."
Simile,Your guardian angel is just a little too enthusiastic,Your guardian angel is just a little too much like a kid on Christmas morning.
Simile,"Several thousand years in the future, humans evolved to be emotionless","Several thousand years in the future, humans evolved to be like robots with skin."
Simile,Clare felt each stirke painful,Clare felt each stirke like a branding iron.
Simile,"Turns out, tag between super heroes can get pretty intense","Turns out, tag between super heroes can get like a bullfight."
Simile,"But this other world doesn't want to be known, it wants to remain hidden","But this other world doesn't want to be known, it wants to remain like an underground cult."
Simile,You are at a business dinner with your boss when your phone rings out loud,You are at a business dinner with your boss when your phone rings out like a petulant child.
Simile,"But this other world doesn't want to be known, it wants to remain hidden","But this other world doesn't want to be known, it wants to remain like a creature amidst the untouchable depths of the sea."
Simile,After decades of drought the Western United states is declared uninhabitable,After decades of drought the Western United states is declared like a sandy death trap.
Simile,"It seems like he's just really charismatic, until his demands become gradually more unhinged","It seems like he's just really charismatic, until his demands become gradually like a megolamaniac's."
Simile,"Unfortunately, their ideas about your past life are hilariously inaccurate","Unfortunately, their ideas about your past life are like unfounded teenage rumors."
Simile,You have no idea why people suddenly have become sick,You have no idea why people suddenly have become like lepers.
Simile,Then there weren any more parties as the house became silent,Then there weren any more parties as the house became like stone.
Simile,But he's much stronger than you and his ideas are very different,But he's much stronger than you and his ideas are like a jet black against your neon green.
Simile,A rather mundane day changes when you unearth something quite interesting,A rather mundane day changes when you unearth something like a ghost's treasure.
Simile,To the superhero they are keeping the people and the world safe,To the superhero they are keeping the people and the world like well-watched children.
Simile,"Amen has fascinating joyful dreams every night, while his real life is unbearable","Amen has fascinating joyful dreams every night, while his real life is like a perpetual thunderstorm of misuer."
Simile,But when we made contact with them they were very hesitant,But when we made contact with them they were like shy kindergarteners.
Simile,We see billionaires with full meters and homeless people completely empty,We see billionaires with full meters and homeless people like hollowed shells.
Simile,My eyes teared up and I could feel my face turning red,My eyes teared up and I could feel my face turning like a bruised tomato.
Simile,"The door seemed impenetrable, dangerous","The door seemed impenetrable, like a ring of assassins."
Simile,Keaton was lying face down on the ground lamely,Keaton was lying face down on the ground like a snapped twig.
Simile,You decline but the man is persistent,You decline but the man is like a cocky salesman.
Simile,We're starting to discover life is oddly permanent,We're starting to discover life is like an endless road.
Simile,Milton scrunched his eyes and moodily turned back to his computer helpless,Milton scrunched his eyes and moodily turned back to his computer like a man in a sailless boat without oars.
Simile,I made quick work of one with my knife and slipped inside undetected,I made quick work of one with my knife and slipped inside like a stealthy ninja.
Simile,Seemingly honorable it would be easy to mistake you as chivalrous,Seemingly honorable it would be easy to mistake you as a knight in shining armor.
Simile,In the near future e-sports have become extremely popular and equally profitable,In the near future e-sports have become extremely popular and like a lucrative stock investment.
Simile,"A few weeks later, a letter arrives, explaining that you are unique","A few weeks later, a letter arrives, explaining that you are like a daisy in a field of sunflowers."
Simile,You are the final boss of a videogame and are unbeaten,You are the final boss of a videogame and are like a reining champion.
Simile,I wander hopelessly,I wander like an unrequited lover.
Simile,Until you notice their eyes are glowing green,Until you notice their eyes are glowing like celestial emeralds.
Simile,"The man pale skin appeared human, but appearances were extremely deceptive","The man pale skin appeared human, but appearances were like a trick mirror."
Simile,I live wealthily,I live like a CEO with diamond-studded sneakers.
Simile,"They were well-cooked, and actually tasted nice","They were well-cooked, and actually tasted like how a symphony sounds."
Simile,Then there weren any more parties as the house became silent,Then there weren any more parties as the house became like an abandoned museum.
Simile,"The bottom of the ocean is dark, scary","The bottom of the ocean is dark, like a dungeon in a fortress of shadows."
Simile,"After finding a strange mask on the beach, you become suddenly more rich and famous","After finding a strange mask on the beach, you become suddenly more like the celebrities you envied."
Simile,Last night you learned from your wife that lucid dreams are very rare,Last night you learned from your wife that lucid dreams are like hen's teeth.
Simile,"The door seemed impenetrable, dangerous","The door seemed impenetrable, like a murderer's heart."
Simile,The news hit me hard,The news hit me like a ton of bricks.
Simile,We're starting to discover life is oddly permanent,We're starting to discover life is like an immovable mountain.
Simile,"A few weeks later, a letter arrives, explaining that you are unique","A few weeks later, a letter arrives explaining that you are like a diamond in the rough."
Simile,"It was red, beautiful","It was red, like a blooming rose."
Simile,The words cut through the air crisply,The words cut through the air like a hot iron sharpening skirt pleats.
Simile,Her relationships with family and friends are very difficult,Her relationships with family and friends are like a tightrope walk.
Simile,"You're the only one who notices, but you're remarkably unfazed","You're the only one who notices, but you're remarkably like a level-headed pilot."
Simile,Telling lies to the young is wrong,Telling lies to the young is like breaking an oath.
Simile,Navigating fantasy Japan has proven very difficult,Navigating fantasy Japan has proven like a maze full of sudden combat.
Simile,It makes Hunger Games look silly,It makes Hunger Games look like a Play-Doh commercial.
Simile,To the superhero they are keeping the people and the world safe,"To the superhero, they are keeping the people and the world like a precious treasure."
Simile,"Streaks of electricity cackled through the air, swirling around and around dangerous","Streaks of electricity cackled through the air, swirling around and around like a tango with Death itself."
Simile,But when we made contact with them they were very hesitant,But when we made contact with them they were like shy little girls.
Simile,You are an oracle whose predictions have always come true,You are an oracle whose predictions have always come like highly researched hypotheses.
Simile,"The knocking on the door was more assertive now, more confident","The knocking on the door was more assertive now, more like a woman who knows what she wants."
Simile,"But the next morning, it sounds terrible","But the next morning, it sounds like a cat couching up a furball."
Simile,Off she went destructive,Off she went like a ballistic missile.
Simile,"The bottom of the ocean is dark, scary","The bottom of the ocean is dark, like a villain's lair."
Simile,"It was obscene, but she was drawn to it, fascinated","It was obscene, but she was drawn to it, like it was a bad boy in a leather jacket."
Simile,They had shut him in a basement that looked dangerously claustrophobic,They had shut him in a basement that looked like an overstuffed sardine can.
Simile,"A character knows that their universe is fictional, but everyone thinks they are crazy","A character knows that their universe is fictional, but everyone thinks they are like a raving Cassandra."
Simile,"The suspect on your biggest case is squeaky clean, but you know they're guilty","The suspect on your biggest case is squeaky clean, but you know it's like they're like the blood is on their hands."
Simile,Thrown away dirtily,Thrown away like a used paper plate.
Simile,"When times are good, your dreams are terrible","When times are good, your dreams are like a manifestation of your worst anxieties."
Simile,Because of this all interstellar species evolved on gas giants and thought earth was uninhabitable,"Because of this, all interstellar species evolved on gas giants and thought earth was like a tight fist of wasted dirt."
Simile,"As they touch the ground, they are forgotten","As they touch the ground, they are lost childhood memories."
Simile,"They all agree the books are good reads, but they are too unrealistic","They all agree the books are good reads, but they are like flamingoes in Antartica."
Simile,The predators never anticipated their enemies would be this indestructible,The predators never anticipated their enemies would be this much like titanium.
Simile,After 10 minutes your head becomes fuzzy,After 10 minutes your head becomes like the morning fog.
Simile,Pain shoots out loud,Pain shoots out like a spiraling firecracker.
Simile,Last night you learned from your wife that lucid dreams are very rare,Last night you learned from your wife that lucid dreams are like sunny days in London.
Simile,Her neck was beautiful,Her neck was like a vampire's dream.
Simile,The city was beautiful,The city was like the crown jewel of the state.
Simile,"The sun is nowhere to be found, and the streets are eerily quiet","The sun is nowhere to be found, and the streets are like a vacant, air-choked library."
Simile,Off she went destructive,Off she went like a wreckingball.
Simile,"I needed to keep my cool, but the King surely wasn't making it easy","I needed to keep my cool, but the King surely wasn't making it like a gentle stroll in the park."
Simile,A global catastrophe causes all major technology to be rendered useless,A global catastrophe causes all major technology to be rendered like a phased out iPhone charger.
Simile,Pain shoots out loud,Pain shoots out like an electric guitar getting tuned.
Simile,They just killed an investigation journalist that was looking too close,They just killed an investigation journalist that was looking a curious toddler pressed against a store window.
Simile,"Having a thin figure, he looked unpleasant","Having a thin figure, he looked like a couch without cushions."
Simile,"Their nuclear program however, has fallen flat","Their nuclear program however, has fallen like our dissapointed expectations."
Simile,After a few weeks he starting to feel a little lonely,After a few weeks he starting to feel a tiger in the wild.
Simile,The words cut through the air crisply,The words cut through the air like a Honeycrisp apple.
Simile,"The suspect on your biggest case is squeaky clean, but you know they're guilty","The suspect on your biggest case is squeaky clean, but you know they're like a gold cup full of dirt."
Simile,You just started staring off into space and smiling dangerously,You just started staring off into space and smiling like a clown shouldering an axe.
Simile,The secret is you can rewind time a few seconds into the past,The secret is you can rewind time like a TiVo remote.
Simile,Youe discovered that your body is completely indestructible,Youe discovered that your body is like fortified steel.
Simile,"She smirked when she saw me looking at it, eyes huge and mouth open","She smirked when she saw me looking at it, eyes huge and mouth like a gaping cave."
Simile,It starts to worry you that everyone is so concerned,It starts to worry you that everyone is like a snowman looking at the first spring sun.
Simile,Hitler skittered off slow,Hitler skittered off like an enthusiastic sloth.
Simile,Describe your 'real' self in third person without sounding arrogant,Describe your 'real' self in third person without sounding like a pompous beauty guru.
Simile,"All contact with the surface has been lost, and the radiation topside is lethal","All contact with the surface has been lost, and the radiation topside is like a ruthless killer."
Simile,"A bright light shines above you, but the rest of the room is dark","A bright light shines above you, but the rest of the room is a black box."
Simile,The shade and sarcasm they throw at each other is too damn funny,The shade and sarcasm they throw at each other is too damn much like watching monkey's foodfight with bananas.
Simile,You can freely switch between them but the rest go completely lifeless,"You can freely switch between them, but the rest go like extinguished flames."
Simile,Youe just made a breakthrough in AI that meant that our species became obsolete,Youe just made a breakthrough in AI that meant that our species became like useless flesh blobs.
Simile,One day you decide to test it out and what you experience is unbelievable,One day you decide to test it out and what you experience is like a magic trick.
Simile,My eyes teared up and I could feel my face turning red,My eyes teared up and I could feel my face turning like a ripening tomato.
Simile,"From the day you were born, you've been invincible","From the day you were born, you've been like Superman."
Simile,"The man pale skin appeared human, but appearances were extremely deceptive","The man pale skin appeared human, but appearances were like subtle camoflage."
Simile,The majority of law enforcement has become irrelevant,The majority of law enforcement has become like old news.
Simile,"When times are good, your dreams are terrible","When times are good, your dreams are like twisted shadows."
